식당(ID),식당명,지점명,지역명,주차가능여부,와이파이제공여부,놀이방유무,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,배달서비스유무,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,스마트오더유무,대표메뉴명,식당상태,해시태그,면적정보내용
10037,연타발,압구정본점,강남구,Y,Y,N,Y,Y,연중무휴,"평일 11:30~22:00, 토요일 11:30~22:00, 일요일 11:30~22:00",N,"레드테이블,네이버",http://yeontabal.modoo.at/,한순례한복침구,37.5265249,127.027692,83.81948,N,"양념왕갈비(주말/공휴일특선_3인분),연타발한우모듬,쿠보타만쥬,한우 꽃등심(150g) 2인분",NORMAL,"모범음식점,트립어드바이저,포장가능",
10043,폴인팬케이크,강남점,강남구,N,Y,N,N,Y,,매일 12:00~22:00,N,레드테이블,http://www.intagram.com/paulin_pancake_,강남역푸드트럭존,37.4981603,127.0270168,73.44623,N,,NORMAL,,
10065,연타발,선릉점,강남구,Y,Y,N,N,Y,,매일 11:00~22:00,N,네이버,http://yeontabal.modoo.at/,삼성(무역센터)역,37.5074134,127.058047,164.74928,N,"연타발갈비김치찌개(2인),특양구이(170g),티본선물포장(1kg)",NORMAL,포장가능,
12309,쿤스트할레,,강남구,N,N,N,N,N,,,N,레드테이블,,아크로갤러리,37.5229909,127.0339061,0.83877,N,,NORMAL,,
12324,미스터 향,역삼점,강남구,Y,Y,N,N,Y,,매일 11:00~21:00,Y,레드테이블,http://www.mrhyang.com/,불교총지종,37.4949276,127.0403008,184.26135,N,,NORMAL,포장가능,
12339,하이라 미스터 왕왕,,강남구,N,N,N,N,N,,,N,레드테이블,,유나이티드갤러리,37.5036208,127.0280655,150.45247,N,,NORMAL,,
12397,아오끼,,강남구,N,N,N,Y,N,,매일 10:00~22:00,N,레드테이블,,삼성중앙역,37.5116435,127.0485228,97.02441,N,,NORMAL,모범음식점,
12419,차숙이 갈비,,강남구,N,N,N,N,N,,,N,레드테이블,,논현동먹자골목,37.5097183,127.0233947,11.0986,N,,NORMAL,포장가능,
12622,연화산,,강남구,N,N,N,N,N,일요일,"평일 09:00~21:30, 토요일 09:00~21:30",N,레드테이블,,지식재산전문도서관,37.5001352,127.0329541,228.64389,N,,NORMAL,모범음식점,
12694,안뜨레,,강남구,Y,Y,N,Y,Y,연중무휴,매일 11:30~21:00,N,"레드테이블,네이버",http://novotel.ambatel.com/gangnam/dining/diningInfo.amb?brand_code=M0453&gnbCode=020000&lnbCode=020300&menu_e=M1242,신논현역,37.5066664,127.0320283,141.432,N,,NORMAL,"모범음식점,트립어드바이저",
12696,브래서리,,강남구,Y,N,N,N,Y,,,N,"레드테이블,네이버","http://eoul.intercontinental.com/iccoex/retaurant/Braerie,http://www.facebook.com/iccoex,http://www.intagram.com/intercontinental_coex,http://blog.naver.com/inter_hotel",스타필드 코엑스몰,37.5125278,127.058843,142.32407,N,,NORMAL,"모범음식점,트립어드바이저",
12767,리틀사이공,압구정점,강남구,Y,N,N,Y,Y,,매일 11:30~22:00,N,레드테이블,,창희보석예술관,37.5277319,127.0301452,61.48991,Y,,NORMAL,블루리본,
12965,탕탕집,논현본점,강남구,N,N,N,Y,Y,,매일 08:00~22:00,N,레드테이블,,논현동가구거리,37.5130215,127.0256712,67.01285,N,,NORMAL,"모범음식점,포장가능",
13216,주식회사 우미노히,,강남구,N,N,N,N,N,,,N,레드테이블,,갤러리미,37.5252492,127.0472215,137.56264,N,,NORMAL,,
13230,카페비스타,,강남구,N,N,N,N,N,,"매일 06:30~24:00, 조식 06:30~10:00",N,레드테이블,http://www.hotelriviera.co.kr/retaurant/retaurant_02.ap,갤러리 서림,37.5201388,127.0560653,334.91446,N,,NORMAL,모범음식점,
13532,딥블루,,강남구,N,N,N,N,N,,,N,레드테이블,,포니정홀,37.5137285,127.0610761,6.01735,N,,NORMAL,,
15016,더플레이스,스타필드 코엑스점,강남구,N,N,N,N,N,,매일 10:30~22:00,N,"레드테이블,네이버","http://www.italiantheplace.co.kr:/,http://www.facebook.com/italianTHEPLACE/?ref=bookmark",한국종합무역센터(코엑스),37.5117454,127.0591541,6.01735,Y,,NORMAL,모범음식점,
63435,작은집,,강남구,N,N,N,Y,N,,,N,,,탄천,37.4931289,127.1036173,114.21066,N,전주 비빔밥정식,NORMAL,,
91310,이삭토스트,강남수서점,강남구,N,N,N,N,N,,"평일 07:00~20:30, 토요일 10:00~19:00",Y,,,탄천,37.4931289,127.1036173,246.04535,Y,,NORMAL,,
91324,이삭토스트,일원점,강남구,N,N,N,Y,N,,"평일 09:00~21:00, 주말 10:00~19:00",N,,,마루공원,37.4959365,127.0801415,189.24515,Y,"딥치즈 베이컨 포테이토,베이컨 베스트,베이컨 포테이토 피자,소세지(트리플)",NORMAL,,
104112,최우영스시,압구정점,강남구,Y,N,N,N,N,,,N,,,창희보석예술관,37.5277319,127.0301452,87.33997,N,,NORMAL,,
105089,콰이,,강남구,Y,N,N,Y,Y,일요일,"평일 11:30~22:00, 토요일 11:30~22:00",N,,http://intagram.com/kuai_china_flavor?ighid=llol1ut93c8z,아크로갤러리,37.5229909,127.0339061,114.20153,N,"B,콰이(쇠고기)탕수육 L,콰이(쇠고기)탕수육 R,콰이볶음밥",NORMAL,,
122464,강승월한정식,압구정직영점,강남구,N,Y,N,N,N,연중무휴,"매일 09:00~22:00, 일요일 09:00~22:00",N,,,다도화랑,37.5229879,127.0260901,56.4433,Y,,NORMAL,,
126645,그때그집 별관,,강남구,N,N,N,N,N,,매일 16:30~01:00,N,,,삼성(무역센터)역,37.5074134,127.058047,278.50134,N,,NORMAL,,
128822,세컨드 컵 커피,,강남구,N,N,N,N,N,,,N,,,이스탄불문화원,37.4994242,127.0358455,191.34193,N,,NORMAL,,
845877,버터밀크 비스킷,,강남구,N,N,N,N,N,,,N,네이버,,세인트제임스 서울[한국관광 품질인증/Korea Quality],37.5232085,127.021643,49.84888,N,,NORMAL,,
848651,맛있는찬,,강남구,N,N,N,N,N,,,N,,,한티역,37.4992043,127.0515905,168.42294,N,,NORMAL,,
848779,압구정볶는커피,,강남구,N,N,N,N,N,,,N,레드테이블,,대치동학원가,37.4932641,127.0605138,269.20032,N,,NORMAL,트립어드바이저,
943866,비비드,,강남구,N,N,N,N,N,,,N,,,까르띠에 메종,37.5270408,127.044925,59.80838,N,,NORMAL,,
943867,비비드,,강남구,N,N,N,N,N,,,N,,,삼성(무역센터)역,37.5074134,127.058047,13.20964,N,,NORMAL,,
