식당(ID),식당명,지점명,도로명주소,지번주소,식당위도,식당경도,식당대표전화번호,영업신고증업태명,영업인허가명,식당소개내용
10037,연타발,압구정본점,서울특별시 강남구 도산대로 231,서울특별시 강남구 신사동 629-32,37.5214557,127.0321654,02-545-4248,한식,일반음식점,"압구정역 근처로 갈 일정이 있으시다면, 서울특별시 강남구의 ""연타발(압구정본점)""을 꼭 방문해보세요. 2021년 07월 17일 MBC 전지적참견시점 162회, 2019년 01월 12일 MBC 전지적참견시점 36회 등에 방영되었을 만큼 유명한 매장입니다! 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 다국어 메뉴판, 그리고 무선 인터넷이 있는 매장입니다."
10065,연타발,선릉점,서울특별시 강남구 테헤란로 428,서울특별시 강남구 대치동 891-6,37.5056874,127.0542244,02-548-9259,한식,일반음식점,"서울특별시 강남구에 있는 소문난 맛집 ""연타발(선릉점)""을 방문해보세요! 근처에 삼성(무역센터)역이 있습니다. 2015년 11월 03일 KBS2 2TV저녁생생정보 15회, 2015년 03월 07일 Olive 2015테이스티로드 8회 등 여러 방송에 소개되었습니다. 네이버 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 무선 인터넷이 있는 매장입니다."
10043,폴인팬케이크,강남점,서울특별시 강남구 봉은사로6길 29,서울특별시 강남구 역삼동 617-1,37.5031171,127.0275269,02-444-8952,카페,휴게음식점,"서울특별시 강남구에서 가 볼 만한 식당을 찾으신다면? 강남역 근처에 있는 ""폴인팬케이크(강남점)""를 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 무선 인터넷이 있는 매장입니다."
12309,쿤스트할레,,서울특별시 강남구 언주로148길 5,서울특별시 강남구 논현동 97-22,37.5205147,127.0349306,070-7733-1692,양식,일반음식점,"서울특별시 강남구에서 가 볼 만한 식당을 찾으신다면? 압구정역 근처에 있는 ""쿤스트할레""를 추천합니다! 레드테이블에서 온라인 예약이 가능합니다!"
12324,미스터 향,역삼점,서울특별시 강남구 논현로 312,서울특별시 강남구 역삼동 788-1,37.4933190,127.0408024,02-554-9311,중식,일반음식점,"서울특별시 강남구에 가신다면 ""미스터 향(역삼점)""에 방문해보세요~ 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 배달 가능한 매장입니다. 주차공간, 무선 인터넷이 있는 매장입니다."
12339,하이라 미스터 왕왕,,서울특별시 강남구 강남대로96길 17,서울특별시 강남구 역삼동 817-21,37.5001356,127.0283897,,일식,일반음식점,"""하이라 미스터 왕왕""은 서울특별시 강남구에 있는 맛집으로, 가장 가까운 지하철역은 강남역입니다. 레드테이블에서 온라인 예약이 가능합니다!"
12397,아오끼,,서울특별시 강남구 선릉로100길 30,서울특별시 강남구 삼성동 140-17,37.5065325,127.0495312,02-569-1586,일식,일반음식점,"서울특별시 강남구에서 가 볼 만한 식당을 찾으신다면? 삼성중앙역 근처에 있는 ""아오끼""를 추천합니다! 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다."
12419,차숙이 갈비,,서울특별시 강남구 학동로 106,서울특별시 강남구 논현동 121,37.5112241,127.0225493,02-548-9757,한식,일반음식점,"서울특별시 강남구에서 어디를 갈지 고민이라면! ""차숙이 갈비""에 가보시는 건 어떨까요?"
12622,연화산,,서울특별시 강남구 언주로93길 31,서울특별시 강남구 역삼동 677-1,37.5030631,127.0395850,02-558-5464,중식,일반음식점,"""연화산""은 서울특별시 강남구에 있습니다. 가장 가까운 지하철역은 역삼역입니다. 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 레드테이블에서 온라인 예약이 가능합니다!"
12694,안뜨레,,서울특별시 강남구 봉은사로 130,서울특별시 강남구 역삼동 603,37.5053622,127.0290189,02-531-6454,양식,일반음식점,"서울특별시 강남구에 있는 소문난 맛집 ""안뜨레""를 방문해보세요! 근처에 신논현역이 있습니다. 2020년 06월 26일 MBC 생방송오늘저녁 1346회 등 여러 방송에 소개되었습니다. 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 남녀 화장실이 구분되어 있는 매장입니다. 주차공간, 다국어 메뉴판, 그리고 무선 인터넷이 있는 매장입니다."
